,title,price,link
10,"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A324-45 with 35.56 cm (14"") HD Display, Pure Silver, 1.3 KG","20,990",https://amazon.in//Acer-Celeron-Processor-LPDDR4X-A324-45/dp/B0D7PSYS6B/ref=sr_1_14?dib=eyJ2IjoiMSJ9.KtVjMohCkSJk8z8d5EDRzORBT_cgj423ZGet7MU8gQeXLCSeV6IhyvjR9j6C9c7MRGWOZAleYHZgRreyHKy2i7-nsJC36RTWMjDqcqr8VTcb_0O2BXGt_ydYBHkHe64ojKOijoK8ZhSzSlt2FqSv3eODLvJRojpWjvxAxPe8kl2OhGOZqeLrc80NMtZ1ZLqBbM5byuwtTd9q1u74GEM_J3zyZ4XAr-M4mO6pNHh2MfM.CXTxdF2PwNS3DjiB_y7ZPdoRLMEMKtCzIge4LBmCtxo&dib_tag=se&keywords=laptop&qid=1749306835&sr=8-14
11,"HP 255 G10, AMD Ryzen 3 7320U Quad Core -(8 GB/512 GB SSD/AMD Radeon Graphics/Windows 11) Thin and Light Business Laptop/15.6"" HD Display/Turbo Silver/1.5 kg","25,850",https://amazon.in//HP-Graphics-Windows-Business-Display/dp/B0F6TJ164J/ref=sr_1_15?dib=eyJ2IjoiMSJ9.KtVjMohCkSJk8z8d5EDRzORBT_cgj423ZGet7MU8gQeXLCSeV6IhyvjR9j6C9c7MRGWOZAleYHZgRreyHKy2i7-nsJC36RTWMjDqcqr8VTcb_0O2BXGt_ydYBHkHe64ojKOijoK8ZhSzSlt2FqSv3eODLvJRojpWjvxAxPe8kl2OhGOZqeLrc80NMtZ1ZLqBbM5byuwtTd9q1u74GEM_J3zyZ4XAr-M4mO6pNHh2MfM.CXTxdF2PwNS3DjiB_y7ZPdoRLMEMKtCzIge4LBmCtxo&dib_tag=se&keywords=laptop&qid=1749306835&sr=8-15
12,"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Thin & Lite Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dolby Audio, Arctic Grey, 1 Year Onsite Brand Warranty","38,390",https://amazon.in//Lenovo-Graphics-5500Mhz-Windows-Warranty/dp/B0F29HNJL1/ref=sr_1_3?dib=eyJ2IjoiMSJ9.KtVjMohCkSJk8z8d5EDRzORBT_cgj423ZGet7MU8gQeXLCSeV6IhyvjR9j6C9c7MRGWOZAleYHZgRreyHKy2i7-nsJC36RTWMjDqcqr8VTcb_0O2BXGt_ydYBHkHe64ojKOijoK8ZhSzSlt2FqSv3eODLvJRojpWjvxAxPe8kl2OhGOZqeLrc80NMtZ1ZLqBbM5byuwtTd9q1u74GEM_J3zyZ4XAr-M4mO6pNHh2MfM.CXTxdF2PwNS3DjiB_y7ZPdoRLMEMKtCzIge4LBmCtxo&dib_tag=se&keywords=laptop&qid=1749306835&sr=8-3
13,"Primebook S 4G, 2025(New, WiFi+4G) Android Based MediaTek MT8788 - (PrimeOS) 4G SIM Slot, Thin and Light Laptop (11.6 Inch, 1.065 Kg, Type C, USB, HDMI, MicroSD) (4GB/128GB eMMC Storage, Black)","16,490",https://amazon.in//Primebook-4G-Android-MediaTek-MT8788/dp/B0D1Y359QD/ref=sr_1_16?dib=eyJ2IjoiMSJ9.KtVjMohCkSJk8z8d5EDRzORBT_cgj423ZGet7MU8gQeXLCSeV6IhyvjR9j6C9c7MRGWOZAleYHZgRreyHKy2i7-nsJC36RTWMjDqcqr8VTcb_0O2BXGt_ydYBHkHe64ojKOijoK8ZhSzSlt2FqSv3eODLvJRojpWjvxAxPe8kl2OhGOZqeLrc80NMtZ1ZLqBbM5byuwtTd9q1u74GEM_J3zyZ4XAr-M4mO6pNHh2MfM.CXTxdF2PwNS3DjiB_y7ZPdoRLMEMKtCzIge4LBmCtxo&dib_tag=se&keywords=laptop&qid=1749306835&sr=8-16
14,"HP 15, 13th Gen Intel Core i5-1334U Laptop (16GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11,M365,Office24, Silver,1.59kg, Iris Xe Graphics,FHD Camera w/Privacy Shutter, fd0577TU","56,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4NTAzMzg5ODgwNDY4ODUwOjE3NDkzMDY4NDA6c3BfYXRmX25leHQ6MzAwNTU5NjYxMTA1ODMyOjowOjo&url=%2FHP-i5-1334U-Anti-Glare-Micro-Edge-fd0577TU%2Fdp%2FB0F4R6H3NB%2Fref%3Dsr_1_17_sspa%3Fdib%3DeyJ2IjoiMSJ9.IruyASTNhyI_9OFVUcTOgBVGoCooKncFUOUT1fU7JastHBWVFgUy2RCA8IHt7c_GWZh9p-stdCRTnu-BrYHLt5-3E2_AZ7zQf7CuREZdhs7CfHaL9Xuj1ATWFf4VSje2lmo5Hd7ZGqJUDfnRO6-2ZFhWFHWTmqgL6bIQpadNLBjSDmm6_XuTAoXeJjbYc4i-K0ZiXznQbFzBdYkV2ZdspE1O1PNB2vP5ZO7DiuSZFe8.9xHfgzSuAdHo6Z4Ohumct76KBYLSSbiUKBxuaRTJq1s%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1749306840%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
15,"HP 15, AMD Ryzen 5 7520U (8GB LPDDR5, 512GB SSD) Anti-Glare, FHD,15.6-inch (39.6 cm) Win 11, Office 21, FHD Camera with Privacy Shutter,15s-fc0155AU","35,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4NTAzMzg5ODgwNDY4ODUwOjE3NDkzMDY4NDA6c3BfYXRmX25leHQ6MzAwNTgyMzg1MTkyMzMyOjowOjo&url=%2FHP-RyzenTM-15-6-inch-Speakers-15s-fc0155AU%2Fdp%2FB0CY2R1G3G%2Fref%3Dsr_1_18_sspa%3Fdib%3DeyJ2IjoiMSJ9.IruyASTNhyI_9OFVUcTOgBVGoCooKncFUOUT1fU7JastHBWVFgUy2RCA8IHt7c_GWZh9p-stdCRTnu-BrYHLt5-3E2_AZ7zQf7CuREZdhs7CfHaL9Xuj1ATWFf4VSje2lmo5Hd7ZGqJUDfnRO6-2ZFhWFHWTmqgL6bIQpadNLBjSDmm6_XuTAoXeJjbYc4i-K0ZiXznQbFzBdYkV2ZdspE1O1PNB2vP5ZO7DiuSZFe8.9xHfgzSuAdHo6Z4Ohumct76KBYLSSbiUKBxuaRTJq1s%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1749306840%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
16,"Primebook S 4G, 2025(New, WiFi+4G) Android Based MediaTek MT8788 - (PrimeOS) 4G SIM Slot, Thin and Light Laptop (11.6 Inch, 1.065 Kg, Type C, USB, HDMI, MicroSD) (4GB/128GB eMMC Storage, Black)","16,490",https://amazon.in//Primebook-4G-Android-MediaTek-MT8788/dp/B0D1Y359QD/ref=sr_1_19?dib=eyJ2IjoiMSJ9.IruyASTNhyI_9OFVUcTOgBVGoCooKncFUOUT1fU7JastHBWVFgUy2RCA8IHt7c_GWZh9p-stdCRTnu-BrYHLt5-3E2_AZ7zQf7CuREZdhs7CfHaL9Xuj1ATWFf4VSje2lmo5Hd7ZGqJUDfnRO6-2ZFhWFHWTmqgL6bIQpadNLBjSDmm6_XuTAoXeJjbYc4i-K0ZiXznQbFzBdYkV2ZdspE1O1PNB2vP5ZO7DiuSZFe8.9xHfgzSuAdHo6Z4Ohumct76KBYLSSbiUKBxuaRTJq1s&dib_tag=se&keywords=laptop&qid=1749306840&sr=8-19
17,"Primebook 4G, 2025(New, WiFi+4G) Android Based MediaTek MT8788 - (PrimeOS) 4G SIM Slot, Thin and Light Laptop (11.6 Inch, 1.065 Kg, Type C, USB, HDMI, MicroSD) (4GB/64GB eMMC Storage, Black)","15,490",https://amazon.in//Primebook-Android-Based-MediaTek-MT8788/dp/B0D1Y3MVGL/ref=sr_1_20?dib=eyJ2IjoiMSJ9.IruyASTNhyI_9OFVUcTOgBVGoCooKncFUOUT1fU7JastHBWVFgUy2RCA8IHt7c_GWZh9p-stdCRTnu-BrYHLt5-3E2_AZ7zQf7CuREZdhs7CfHaL9Xuj1ATWFf4VSje2lmo5Hd7ZGqJUDfnRO6-2ZFhWFHWTmqgL6bIQpadNLBjSDmm6_XuTAoXeJjbYc4i-K0ZiXznQbFzBdYkV2ZdspE1O1PNB2vP5ZO7DiuSZFe8.9xHfgzSuAdHo6Z4Ohumct76KBYLSSbiUKBxuaRTJq1s&dib_tag=se&keywords=laptop&qid=1749306840&sr=8-20
18,"Lenovo IdeaPad Slim 3, Intel Core i5-12450H, 12th Gen, 16GB RAM, 512GB SSD, FHD, 14""/35.5cm, Windows 11, MS Office Home 2024, Grey, 1.37Kg, 83EQ0072IN, Alexa Built-in, 3 mon. Game Pass Laptop","48,990",https://amazon.in//Lenovo-IdeaPad-i5-12450H-Windows-83EQ0072IN/dp/B0DP7BZ8FD/ref=sr_1_21?dib=eyJ2IjoiMSJ9.IruyASTNhyI_9OFVUcTOgBVGoCooKncFUOUT1fU7JastHBWVFgUy2RCA8IHt7c_GWZh9p-stdCRTnu-BrYHLt5-3E2_AZ7zQf7CuREZdhs7CfHaL9Xuj1ATWFf4VSje2lmo5Hd7ZGqJUDfnRO6-2ZFhWFHWTmqgL6bIQpadNLBjSDmm6_XuTAoXeJjbYc4i-K0ZiXznQbFzBdYkV2ZdspE1O1PNB2vP5ZO7DiuSZFe8.9xHfgzSuAdHo6Z4Ohumct76KBYLSSbiUKBxuaRTJq1s&dib_tag=se&keywords=laptop&qid=1749306840&sr=8-21
19,"HP 15s, 12th Gen Intel Core i3-1215U Laptop (8GB DDR4, 512GB SSD) Anti-Glare, 15.6""/39.6cm,FHD, Win 11, MS Office 21, Silver, 1.69kg, Intel UHD Graphics, HD Camera, Dual Speakers, fy5006tu","33,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToxMzI0OTkwNjczNjg1NDYwOjE3NDkzMDY4NDA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDUzMzM5NTg2OTAzMjo6MDo6&url=%2FHP-i3-1215U-Anti-Glare-15-6inch-Graphics%2Fdp%2FB0CJBL2QWY%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.24e1f0fb-6b39-49f5-b34a-4ebef8eaef82%253Aamzn1.sym.24e1f0fb-6b39-49f5-b34a-4ebef8eaef82%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0CJBL2QWY%26pd_rd_r%3Dfd0959ba-d957-43a4-8114-643b406de900%26pd_rd_w%3DtmAG2%26pd_rd_wg%3DtTOyY%26pf_rd_p%3D24e1f0fb-6b39-49f5-b34a-4ebef8eaef82%26pf_rd_r%3DXAX7BFMAE701V41ZM4PJ%26qid%3D1749306840%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-17-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
